@relation 1.1.train

@attribute Day numeric
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute Cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21}

@data
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
1,175000,3.96487,cluster16
